Loading previously saved residue dgl graphs...
[0;30;43m Pre-training VQ-VAE | Epoch: 1,  Batch: 0 | Train Loss: 1.82080 | 0.00759 0.65063 1.17083[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 11, Batch: 0 | Train Loss: 0.07513 | 0.00329 0.05143 0.02056[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 21, Batch: 0 | Train Loss: 0.06470 | 0.00324 0.04287 0.01872[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 31, Batch: 0 | Train Loss: 0.06180 | 0.00316 0.04161 0.01715[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 41, Batch: 0 | Train Loss: 0.06634 | 0.00328 0.04128 0.02193[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 51, Batch: 0 | Train Loss: 0.06394 | 0.00329 0.04141 0.01937[0m
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
the number of train data: 11904
the number of valid data: 1000
the number of test data: 285
epoch:0 	 train_rmse:6.5210 	 valid_rmse:6.5879 	 time:78.000 s
epoch:1 	 train_rmse:5.5548 	 valid_rmse:5.5786 	 time:78.000 s
epoch:2 	 train_rmse:5.6504 	 valid_rmse:5.7440 	 time:78.000 s
epoch:3 	 train_rmse:3.2315 	 valid_rmse:3.2951 	 time:78.000 s
epoch:4 	 train_rmse:3.0119 	 valid_rmse:3.0779 	 time:78.000 s
epoch:5 	 train_rmse:1.7931 	 valid_rmse:1.8722 	 time:78.000 s
epoch:6 	 train_rmse:1.7097 	 valid_rmse:1.8112 	 time:78.000 s
epoch:7 	 train_rmse:1.3711 	 valid_rmse:1.4592 	 time:78.000 s
epoch:8 	 train_rmse:1.3066 	 valid_rmse:1.3862 	 time:78.000 s
epoch:9 	 train_rmse:1.2848 	 valid_rmse:1.4129 	 time:78.000 s
epoch:10 	 train_rmse:1.3263 	 valid_rmse:1.4902 	 time:78.000 s
epoch:11 	 train_rmse:1.2567 	 valid_rmse:1.3906 	 time:78.000 s
epoch:12 	 train_rmse:1.2208 	 valid_rmse:1.3613 	 time:78.000 s
epoch:13 	 train_rmse:1.2341 	 valid_rmse:1.4149 	 time:78.000 s
epoch:14 	 train_rmse:1.2299 	 valid_rmse:1.4238 	 time:78.000 s
epoch:15 	 train_rmse:1.1815 	 valid_rmse:1.3758 	 time:78.000 s
epoch:16 	 train_rmse:1.2202 	 valid_rmse:1.4174 	 time:78.000 s
epoch:17 	 train_rmse:1.2407 	 valid_rmse:1.3940 	 time:78.000 s
epoch:18 	 train_rmse:1.2232 	 valid_rmse:1.3985 	 time:78.000 s
epoch:19 	 train_rmse:1.1681 	 valid_rmse:1.3804 	 time:78.000 s
epoch:20 	 train_rmse:1.1155 	 valid_rmse:1.3653 	 time:78.000 s
epoch:21 	 train_rmse:1.0779 	 valid_rmse:1.3265 	 time:78.000 s
epoch:22 	 train_rmse:1.1737 	 valid_rmse:1.4156 	 time:78.000 s
epoch:23 	 train_rmse:1.1129 	 valid_rmse:1.3350 	 time:78.000 s
epoch:24 	 train_rmse:0.9965 	 valid_rmse:1.2813 	 time:78.000 s
epoch:25 	 train_rmse:1.1803 	 valid_rmse:1.4967 	 time:78.000 s
epoch:26 	 train_rmse:1.0279 	 valid_rmse:1.4018 	 time:78.000 s
epoch:27 	 train_rmse:0.9708 	 valid_rmse:1.3318 	 time:78.000 s
epoch:28 	 train_rmse:0.9878 	 valid_rmse:1.3061 	 time:78.000 s
epoch:29 	 train_rmse:0.9741 	 valid_rmse:1.3157 	 time:78.000 s
epoch:30 	 train_rmse:0.9901 	 valid_rmse:1.3470 	 time:78.000 s
epoch:31 	 train_rmse:0.9841 	 valid_rmse:1.3482 	 time:78.000 s
epoch:32 	 train_rmse:0.9103 	 valid_rmse:1.3155 	 time:78.000 s
epoch:33 	 train_rmse:0.9286 	 valid_rmse:1.3684 	 time:78.000 s
epoch:34 	 train_rmse:0.9011 	 valid_rmse:1.3496 	 time:78.000 s
epoch:35 	 train_rmse:0.8103 	 valid_rmse:1.3103 	 time:78.000 s
epoch:36 	 train_rmse:0.8991 	 valid_rmse:1.3349 	 time:78.000 s
epoch:37 	 train_rmse:0.8641 	 valid_rmse:1.3094 	 time:78.000 s
epoch:38 	 train_rmse:0.8423 	 valid_rmse:1.3249 	 time:78.000 s
epoch:39 	 train_rmse:0.8495 	 valid_rmse:1.3198 	 time:78.000 s
epoch:40 	 train_rmse:0.8203 	 valid_rmse:1.3335 	 time:78.000 s
epoch:41 	 train_rmse:0.7850 	 valid_rmse:1.2667 	 time:78.000 s
epoch:42 	 train_rmse:0.7177 	 valid_rmse:1.2342 	 time:78.000 s
epoch:43 	 train_rmse:0.7599 	 valid_rmse:1.2961 	 time:78.000 s
epoch:44 	 train_rmse:0.7350 	 valid_rmse:1.2603 	 time:78.000 s
epoch:45 	 train_rmse:0.7571 	 valid_rmse:1.3343 	 time:78.000 s
epoch:46 	 train_rmse:0.6379 	 valid_rmse:1.2275 	 time:78.000 s
epoch:47 	 train_rmse:0.7060 	 valid_rmse:1.2591 	 time:78.000 s
epoch:48 	 train_rmse:0.7954 	 valid_rmse:1.3432 	 time:78.000 s
epoch:49 	 train_rmse:0.6577 	 valid_rmse:1.2543 	 time:78.000 s
epoch:50 	 train_rmse:0.6809 	 valid_rmse:1.2796 	 time:78.000 s
epoch:51 	 train_rmse:0.7009 	 valid_rmse:1.2800 	 time:78.000 s
epoch:52 	 train_rmse:0.6950 	 valid_rmse:1.2864 	 time:78.000 s
epoch:53 	 train_rmse:0.6588 	 valid_rmse:1.2861 	 time:78.000 s
epoch:54 	 train_rmse:0.6817 	 valid_rmse:1.2874 	 time:78.000 s
epoch:55 	 train_rmse:0.7025 	 valid_rmse:1.2833 	 time:78.000 s
epoch:56 	 train_rmse:0.6201 	 valid_rmse:1.2963 	 time:78.000 s
epoch:57 	 train_rmse:0.6102 	 valid_rmse:1.2572 	 time:78.000 s
epoch:58 	 train_rmse:0.6547 	 valid_rmse:1.2642 	 time:78.000 s
epoch:59 	 train_rmse:0.6748 	 valid_rmse:1.2932 	 time:78.000 s
epoch:60 	 train_rmse:0.6048 	 valid_rmse:1.2467 	 time:78.000 s
epoch:61 	 train_rmse:0.5729 	 valid_rmse:1.2140 	 time:78.000 s
epoch:62 	 train_rmse:0.5807 	 valid_rmse:1.2363 	 time:78.000 s
epoch:63 	 train_rmse:0.6281 	 valid_rmse:1.2889 	 time:78.000 s
epoch:64 	 train_rmse:0.5915 	 valid_rmse:1.2572 	 time:78.000 s
epoch:65 	 train_rmse:0.5835 	 valid_rmse:1.2425 	 time:78.000 s
epoch:66 	 train_rmse:0.6426 	 valid_rmse:1.2690 	 time:78.000 s
epoch:67 	 train_rmse:0.5096 	 valid_rmse:1.2435 	 time:78.000 s
epoch:68 	 train_rmse:0.5568 	 valid_rmse:1.2673 	 time:78.000 s
epoch:69 	 train_rmse:0.5620 	 valid_rmse:1.2552 	 time:78.000 s
epoch:70 	 train_rmse:0.6069 	 valid_rmse:1.2727 	 time:78.000 s
epoch:71 	 train_rmse:0.5591 	 valid_rmse:1.2761 	 time:78.000 s
epoch:72 	 train_rmse:0.6197 	 valid_rmse:1.3001 	 time:78.000 s
epoch:73 	 train_rmse:0.5611 	 valid_rmse:1.2529 	 time:78.000 s
epoch:74 	 train_rmse:0.5147 	 valid_rmse:1.2379 	 time:78.000 s
epoch:75 	 train_rmse:0.6643 	 valid_rmse:1.2779 	 time:78.000 s
epoch:76 	 train_rmse:0.4995 	 valid_rmse:1.2651 	 time:78.000 s
epoch:77 	 train_rmse:0.5479 	 valid_rmse:1.2746 	 time:78.000 s
epoch:78 	 train_rmse:0.5226 	 valid_rmse:1.2643 	 time:78.000 s
epoch:79 	 train_rmse:0.5064 	 valid_rmse:1.2283 	 time:78.000 s
epoch:80 	 train_rmse:0.5190 	 valid_rmse:1.2563 	 time:78.000 s
epoch:81 	 train_rmse:0.5508 	 valid_rmse:1.2460 	 time:78.000 s
epoch:82 	 train_rmse:0.5066 	 valid_rmse:1.2612 	 time:78.000 s
epoch:83 	 train_rmse:0.5695 	 valid_rmse:1.2830 	 time:78.000 s
epoch:84 	 train_rmse:0.5151 	 valid_rmse:1.2516 	 time:78.000 s
epoch:85 	 train_rmse:0.5354 	 valid_rmse:1.2772 	 time:78.000 s
epoch:86 	 train_rmse:0.5041 	 valid_rmse:1.2549 	 time:78.000 s
epoch:87 	 train_rmse:0.4800 	 valid_rmse:1.2480 	 time:78.000 s
epoch:88 	 train_rmse:0.4927 	 valid_rmse:1.2628 	 time:78.000 s
epoch:89 	 train_rmse:0.4696 	 valid_rmse:1.2585 	 time:78.000 s
epoch:90 	 train_rmse:0.5519 	 valid_rmse:1.2668 	 time:78.000 s
epoch:91 	 train_rmse:0.5415 	 valid_rmse:1.2629 	 time:78.000 s
epoch:92 	 train_rmse:0.5096 	 valid_rmse:1.2721 	 time:78.000 s
epoch:93 	 train_rmse:0.5473 	 valid_rmse:1.2699 	 time:78.000 s
epoch:94 	 train_rmse:0.5352 	 valid_rmse:1.2388 	 time:78.000 s
epoch:95 	 train_rmse:0.4944 	 valid_rmse:1.2367 	 time:78.000 s
epoch:96 	 train_rmse:0.4393 	 valid_rmse:1.2591 	 time:78.000 s
epoch:97 	 train_rmse:0.4641 	 valid_rmse:1.2538 	 time:78.000 s
epoch:98 	 train_rmse:0.5202 	 valid_rmse:1.2641 	 time:78.000 s
epoch:99 	 train_rmse:0.4765 	 valid_rmse:1.2284 	 time:78.000 s
epoch:100 	 train_rmse:0.4767 	 valid_rmse:1.2456 	 time:78.000 s
epoch:101 	 train_rmse:0.4380 	 valid_rmse:1.2589 	 time:78.000 s
epoch:102 	 train_rmse:0.4591 	 valid_rmse:1.2821 	 time:78.000 s
epoch:103 	 train_rmse:0.5109 	 valid_rmse:1.2790 	 time:78.000 s
epoch:104 	 train_rmse:0.4846 	 valid_rmse:1.2612 	 time:78.000 s
epoch:105 	 train_rmse:0.5111 	 valid_rmse:1.2886 	 time:78.000 s
epoch:106 	 train_rmse:0.4209 	 valid_rmse:1.2233 	 time:78.000 s
